,预售证号,日期,项目名称,发展商,项目坐落,栋号,住宅面积,商业面积,办公面积,其他面积,住宅套数,商业套数,办公套数,其他套数
191,肇预许字第2014004号,2018年12月12日,富海豪庭_C1C2C3,肇庆市昆隆房地产开发有限公司,肇庆市鼎湖区鼎湖新城四十八区之三,C1C2C3 18/195套,23978.39,867.38,0,0,193,2,0,0
192,肇旺预许字第2019037号,2019年9月27日,新城和昱建设项目2#,肇庆市鼎泰房地产有限公司,肇庆高新区北江大道西南、纬九街南面,2#,26079.04,717.09,0,0,256,16,0,0
193,肇旺预许字第2019036号,2019年9月29日,新城和昱建设项目1#楼,肇庆市鼎泰房地产有限公司,肇庆高新区北江大道西南、纬九街南面,1#楼,17998.8,127.61,0,0,192,3,0,0
194,肇旺预许字第2019035号,2019年9月27日,东澳御园：1#、2#、3#楼,肇庆东澳房地产有限公司,肇庆高新区中心服务区大旺大道东面、政德街北面,1#、2#、3#楼32栋/397套,27598.68,1320.94,0,0,372,25,0,0
195,肇旺预许字第2019034号,2019年9月24日,肇庆保利心悦花园3座,肇庆市弘旺企业管理有限公司,肇庆市高新区大旺大道67号肇庆保利心悦花园,3座：地下1层,15193.6,0,0,0,192,0,0,0
196,肇旺预许字第2019033号,2019年9月24日,玖龙湖南花园9#楼,肇庆市高新区龙光铂骏房地产有限公司,广东省肇庆高新技术开发区大旺大道40号,9#楼32层/245套,25551.44,1258.94,0,0,217,28,0,0
197,肇旺预许字第2019032号,2019年9月17日,东湖明珠花园5#楼6#楼,肇庆杰林投资开发有限公司,肇庆高新区东湖明珠花园5#楼（1座、2座）6#楼（1座）,"栋号：5#楼6#楼
层数：31层/406套",30139.8,1698.8,0,0,360,46,0,0
198,肇旺预许字第2019031号,2019年9月17日,合景天峻花园：5#、6#,肇庆昊泰房地产开发有限公司,肇庆市高新区纬四街6号,5#（33层）、6#（33层）/256套,22304.64,0,0,0,256,0,0,0
199,肇旺预许字第2019030号,2019年9月11日,肇庆保利心悦花园8座,肇庆市弘旺企业管理有限公司,肇庆市高新区大旺大道67号肇庆保利心悦花园,8座：地下1层,14281.28,745.17,0,0,128,14,0,0
200,肇旺预许字第2019029号,2019年9月4日,新域公寓B栋,肇庆市高新区志远房地产开发有限公司,肇庆高新区迎宾大道2号之三新域公寓B栋,新域公寓B栋10层/189套,,9812.89,0,0,,189,0,0
201,肇旺预许字第2019028号,2019年9月4日,新域公寓A栋,肇庆市高新区志远房地产开发有限公司,肇庆高新区迎宾大道2号之三新域公寓A栋,A栋10层/202套,,10061.26,0,0,,202,0,0
202,肇旺预许字第2019027号,2019年8月16日,肇庆保利心悦花园1座,肇庆市弘旺企业管理有限公司,肇庆市高新区大旺大道67号肇庆保利心悦花园,1座：地下1层,15193.6,0,0,0,192,0,0,0
203,肇旺预许字第2019026号,2019年8月9日,肇庆保利心悦花园7座,肇庆市弘旺企业管理有限公司,肇庆市高新区大旺大道67号肇庆保利心悦花园,7座：地下1层,14643.84,290.43,0,0,128,5,0,0
204,肇旺预许字第2019025号,2019年7月26日,肇庆保利心悦花园2座,肇庆市弘旺企业管理有限公司,肇庆市高新区大旺大道67号肇庆保利心悦花园,2座：地下1层,15193.6,0,0,0,192,0,0,0
205,肇旺预许字第2019024号,2019年7月18日,君山新城二期17栋,肇庆恒兆房地产开发有限公司,肇庆高新区建设路11号,17栋/31层/193套,14767.2,773.95,0,0,180,13,0,0
206,肇旺预许字第2019023号,2019年7月18日,君山新城二期10栋,肇庆恒兆房地产开发有限公司,肇庆市高新区建设路11号,10栋/32层/123套,14128.19,0,0,0,123,0,0,0
207,肇旺预许字第2019022号,2019年7月12日,诚德馨园12#13#,肇庆市诚德房地产开发有限公司,肇庆高新区福安街2号诚德馨园12#13#,"12#27层
13#27层/222套",22877.14,603.06,0,0,208,14,0,0
208,肇旺预许字第2019021号,2019年7月3日,新城和昱建设项目7#楼,肇庆市鼎泰房地产有限公司,肇庆高新区北江大道西面、纬九街南面,7#楼,14266.24,0,0,0,128,0,0,0
209,肇旺预许字第2019020号,2019年6月13日,东澳御园：4#楼,肇庆东澳房地产有限公司,肇庆高新区中心服务区大旺大道东面、政德街北面,4#楼32层/193套,16797.04,364.57,0,0,186,7,0,0
210,肇旺预许字第2019019号,2019年6月10日,肇庆保利心悦花园5座,肇庆市弘旺企业管理有限公司,肇庆市高新区大旺大道67号肇庆保利心悦花园,5座：地下1层,20963.2,0,0,0,192,0,0,0
211,肇旺预许字第2019018号,2019年5月23日,玖龙湖南花园10#楼,肇庆市高新区龙光铂骏房地产有限公司,广东省肇庆高新技术开发区大旺大道40号,10#楼32层/264套,25134.8,659.96,0,0,248,16,0,0
212,肇旺预许字第2019017号,2019年4月28日,旺城・新域,肇庆市高新区志远房地产开发有限公司,肇庆高新区南部商务区迎宾大道西侧旺城新域C栋,C栋10层/195套,,9518.52,0,0,,195,0,0
213,肇旺预许字第2019016号,2019年4月28日,肇庆保利心悦花园6座,肇庆市弘旺企业管理有限公司,肇庆市高新区大旺大道67号肇庆保利心悦花园,6座：地下1层,20961.92,647.57,0,0,192,10,0,0
214,肇旺预许字第2019015号,2019年4月8日,新城和昱建设项目4#楼,肇庆市鼎泰房地产有限公司,肇庆高新区中心服务区北江大道西面、纬九街南面,4#楼,17965.44,64.38,0,0,192,2,0,0
215,肇旺预许字第2019014号,2019年4月8日,新城和昱建设项目3#楼,肇庆市鼎泰房地产有限公司,肇庆高新区中心服务区北江大道西面、纬九街南面,3#楼,26094.72,523.81,0,0,256,12,0,0
216,肇旺预许字第2019013号,2019年4月1日,君山新城二期9栋,肇庆恒兆房地产开发有限公司,肇庆高新区建设路11号,9栋/31层/120套,12574.2,0,0,0,120,0,0,0
217,肇旺预许字第2019012号,2019年4月2日,御龙湖花园3号楼商业,肇庆珠影文体产业投资有限公司,肇庆高新区福安街10号御龙湖花园3号楼商业,3号楼商业,0,526.6,0,0,0,16,0,0
218,肇旺预许字第2019011号,2019年4月2日,御龙湖花园4号楼商业,肇庆珠影文体产业投资有限公司,肇庆高新区福安街10号御龙湖花园4号楼商业,4号楼商业,0,555.78,0,0,0,13,0,0
219,肇旺预许字第2019010号,2019年4月2日,御龙湖花园11号楼商业,肇庆珠影文体产业投资有限公司,肇庆高新区福安街10号御龙湖花园11号楼商业,11号楼商业,0,715.66,0,0,0,16,0,0
220,肇旺预许字第2019009号,2019年4月2日,御龙湖花园10号楼商业,肇庆珠影文体产业投资有限公司,肇庆高新区福安街10号御龙湖花园10号楼商业,10号楼商业,0,709.43,0,0,0,16,0,0
221,肇旺预许字第2019008号,2019年4月2日,肇庆保利心悦花园21座,肇庆市弘旺企业管理有限公司,肇庆市高新区大旺大道67号肇庆保利心悦花园,21座：地下1层,14925.76,0,0,0,128,0,0,0
222,肇旺预许字第2019007号,2019年3月6日,玖龙湖南花园1#楼,肇庆市高新区龙光铂骏房地产有限公司,广东省肇庆高新技术开发区大旺大道40号,1#楼32层/258套,25893.06,420.52,0,0,248,10,0,0
223,肇旺预许字第2019006号,2019年3月5日,信业尚悦湾花园8栋9栋,肇庆高新区鼎泓房地产开发有限公司,肇庆高新区中心服务区经二十路东面、纬四街南面地段,8栋32层,22873.97,722.12,0,0,248,12,0,0
224,肇旺预许字第2019005号,2019年2月18日,玖龙湖南花园4#楼,肇庆市高新区龙光铂骏房地产有限公司,广东省肇庆高新技术开发区大旺大道40号,4#楼28层/220套,22123.09,366.58,0,0,212,8,0,0
225,肇旺预许字第2019004号,2019年1月24日,合景天峻花园：3#、4#,肇庆昊泰房地产开发有限公司,肇庆市高新区纬四街6号,3#（32层）、4#（32层）/252套,21986.13,257.08,0,0,248,4,0,0
226,肇旺预许字第2019003号,2019年1月25日,香江雅苑:6#,肇庆东恒房地产有限公司,肇庆市高新区北江大道27号香江雅苑6#,6#；28层/251套,20790,1183.46,0,0,216,35,0,0
