,预售证号,日期,项目名称,发展商,项目坐落,栋号,住宅面积,商业面积,办公面积,其他面积,住宅套数,商业套数,办公套数,其他套数
246,肇新预许字第2019025号,2019年10月12日,龙光新领地花园三期项目（F区）3栋,龙光世纪（肇庆）置业有限公司,肇庆新区绿轴四路16号,3栋  33层/173套,15040.21,422.37,0,0,159,14,0,0
247,肇新预许字第2019024号,2019年9月23日,弘达-学府嘉园,肇庆市鼎湖卓易房地产开发有限公司,肇庆市鼎湖区莲花镇莲安路西18号弘达-学府嘉园,1栋/2栋  1栋17层/2栋5层/87套,7604.57,1398.67,0,0,72,15,0,0
248,肇新预许字第2019023号,2019年9月20日,肇庆新区康耀花园（西区）,肇庆新区康耀房地产开发有限公司,肇庆新区ZB03区XQ-0301号,10栋    26层/75套,10422.25,0,0,0,75,0,0,0
249,肇新预许字第2019022号,2019年9月20日,肇庆新区康耀花园（西区）,肇庆新区康耀房地产开发有限公司,肇庆新区ZB03区XQ-0301号,8栋   32层/93套,13986.89,0,0,0,93,0,0,0
250,肇新预许字第2019021号,2019年9月20日,肇庆新区康耀花园（西区）,肇庆新区康耀房地产开发有限公司,肇庆新区ZB03区XQ-ZB0301号,7栋   32层/93套,13988.44,0,0,0,93,0,0,0
251,肇新预许字第2019020号,2019年9月20日,肇庆新区康耀花园（西区）,肇庆新区康耀房地产开发有限公司,肇庆新区ZB03区XQ-ZB0301号,4栋   26层/110套,10822.55,582.25,0,0,98,12,0,0
252,肇新预许字第2019019号,2019年9月20日,肇庆新区康耀花园（西区）,肇庆新区康耀房地产开发有限公司,肇庆新区ZB03区XQ-ZB0301号,3-1栋,21740.12,753.96,0,0,197,13,0,0
253,肇新预许字第2019018号,2019年9月12日,保利湖畔花园8幢,肇庆宏顺房地产开发有限公司,肇庆市肇庆新区XZ17区(XQ-XZ1701),8幢 29层/112套,13112.68,0,0,0,112,0,0,0
254,肇新预许字第2019017号,2019年9月11日,龙光新领地花园三期项目（F区）7栋,龙光世纪（肇庆）置业有限公司,肇庆新区绿轴四路16号,7栋 33层/163套,16043.28,0,0,0,163,0,0,0
255,肇新预许字第2019016号,2019年9月11日,龙光新领地花园三期项目（F区）4栋,龙光世纪（肇庆）置业有限公司,肇庆新区绿轴四路16号,4栋  33层/165套,15049.13,181.33,0,0,159,6,0,0
256,肇新预许字第2019015号,2019年9月11日,海晟花园三期五座（8栋、9栋、10栋）,肇庆市鼎湖区海晟房地产开发有限公司,肇庆市鼎湖区莲花镇莲业路19号海晟花园五座（8栋、9栋、10栋）,五座（8栋、9栋、10栋）16层/193套,16217.1,871.22,0,0,180,13,0,0
257,肇新预许字第2019014号,2019年7月23日,宝能城住宅一期1幢,肇庆市宝能投资有限公司,肇庆新区迎宾路9号,1幢32层/234套,25835.81,137.33,0,0,232,2,0,0
258,肇新预许字第2019013号,2019年4月29日,中海新城公馆33-35座,肇庆中海嘉兴房地产开发有限公司,肇庆新区吉庆大道9号,33座18层,15308.98,0,0,0,107,0,0,0
259,肇新预许字第2019012号,2019年4月29日,中海新城公馆30-32座,肇庆中海嘉兴房地产开发有限公司,肇庆新区吉庆大道9号,30座18层,15432.94,0,0,0,108,0,0,0
260,肇新预许字第2019011号,2019年4月22日,宝能城住宅一期3幢,肇庆市宝能投资有限公司,肇庆市新区ZZ66区（XQ-ZZ2601）,3幢,14743.2,792.33,0,0,120,12,0,0
261,肇新预许字第2019010号,2019年4月11日,保利花园二期3幢,保利肇庆投资有限公司,肇庆新区XQ-XZ0701-A（肇庆新区砚阳路6号）,3幢  32层/99套,13724.32,341.15,0,0,93,6,0,0
262,肇新预许字第2019009号,2019年4月11日,保利湖畔花园6幢,肇庆宏顺房地产开发有限公司,肇庆市肇庆新区XZ17区(XQ-XZ1701),6幢 29层/112套,13101.48,0,0,0,112,0,0,0
263,肇新预许字第2019008号,2019年4月11日,保利湖畔花园5幢,肇庆宏顺房地产开发有限公司,肇庆市肇庆新区XZ17区(XQ-XZ1701),5幢 30层/116套,13219.94,0,0,0,116,0,0,0
264,肇新预许字第2019007号,2019年3月8日,海晟花园三期六座（11栋、12栋、13栋）,肇庆市鼎湖区海晟房地产开发有限公司,肇庆市鼎湖区莲花镇莲业路19号海晟花园六座（11栋、12栋、13栋）,三期六座（11栋、12栋、13栋）/16层/191套,16232.1,861.82,0,0,180,11,0,0
265,肇新预许字第2019006号,2019年3月8日,保利花园二期2幢,保利肇庆投资有限公司,肇庆新区XQ-XZ0701-A（肇庆新区砚阳路6号）,2幢  33层/256套,28236.8,0,0,0,256,0,0,0
266,肇新预许字第2019005号,2019年1月30日,保利湖畔花园1幢,肇庆宏顺房地产开发有限公司,肇庆市肇庆新区XZ17区(XQ-XZ1701),1幢 33层/135套,13952.64,452.98,0,0,128,7,0,0
267,肇新预许字第2019004号,2019年1月29日,中海新城公馆36-37座,肇庆中海嘉兴房地产开发有限公司,肇庆新区吉庆大道9号,36座18层,9230.14,0,0,0,72,0,0,0
268,肇新预许字第2019003号,2019年1月29日,中海新城公馆28-29座,肇庆中海嘉兴房地产开发有限公司,肇庆新区吉庆大道9号,28座18层,9230.14,0,0,0,72,0,0,0
269,肇新预许字第2019002号,2019年1月10日,肇庆新区康乐花园小型商业二,肇庆中凯房地产开发有限公司,肇庆新区ZB05区（XQ-ZB0501）,小型商业二/2层/11套,0,1009.82,0,0,0,11,0,0
270,肇新预许字第2019001号,2019年1月10日,肇庆新区康乐花园小型商业一,肇庆中凯房地产开发有限公司,肇庆新区ZB05区（XQ-ZB0501）,小型商业一/2层/9套,0,696.5,0,0,0,9,0,0
271,肇新预许字第2018027号,2018年12月29日,保利湖畔花园2幢,肇庆宏顺房地产开发有限公司,肇庆市肇庆新区XZ17区(XQ-XZ1701),2幢 33层/141套,13949.44,782.6,0,0,128,13,0,0
272,肇新预许字第2018026号,2018年12月20日,中海新城公馆48座,肇庆中海嘉兴房地产开发有限公司,肇庆新区吉庆大道9号,48座1层/5套,0,333.75,0,0,0,5,0,0
273,肇新预许字第2018025号,2018年12月20日,中海新城公馆47座,肇庆中海嘉兴房地产开发有限公司,肇庆新区吉庆大道9号,47座1层/5套,0,338.26,0,0,0,5,0,0
274,肇新预许字第2018024号,2018年12月20日,中海新城公馆46座,肇庆中海嘉兴房地产开发有限公司,肇庆新区吉庆大道9号,46座1层/8套,0,640.75,0,0,0,8,0,0
275,肇新预许字第2018023号,2018年12月20日,中海新城公馆21-22座,肇庆中海嘉兴房地产开发有限公司,肇庆新区吉庆大道9号,21座18层,10005.39,193.88,0,0,70,3,0,0
276,肇新预许字第2018022号,2018年12月13日,中海新城公馆1-3座,肇庆中海嘉兴房地产开发有限公司,肇庆新区吉庆大道9号,1座18层、2座18层、3座18层/108套,11957.04,0,0,0,108,0,0,0
277,肇新预许字第2018021号,2018年10月30日,中海新城公馆26-27座,肇庆中海嘉兴房地产开发有限公司,肇庆新区吉庆大道9号,26座18层、27座18层/72套,9230.14,0,0,0,72,0,0,0
278,肇新预许字第2018020号,2018年10月30日,中海新城公馆23-25座,肇庆中海嘉兴房地产开发有限公司,肇庆新区政文组团XQ-XZ0601,23座18层、24座18层、25座18层/108套,15433.02,0,0,0,108,0,0,0
279,肇新预许字第2018019号,2018年10月30日,中海新城公馆9-11座,肇庆中海嘉兴房地产开发有限公司,肇庆新区政文组团XQ-XZ0601,9座18层,15433.02,0,0,0,108,0,0,0
280,怀预许字第201947号,2019年10月22日,鸿景城东苑,怀集县鑫源矿业有限公司,怀集县怀城镇龙湾圩背,4B幢25层/99套,10942.15,0,0,0,99,0,0,0
281,怀预许字第201946号,2019年10月16日,4幢,怀集县富威堡房地产有限公司,怀集县怀城镇横洞工业区,4幢    17层/53套,5611.52,362.71,0,0,48,5,0,0
282,怀预许字第201945号,2019年10月16日,3幢,怀集县富威堡房地产有限公司,怀集县怀城镇横洞工业区,3幢     17层/54套,5610.08,436.09,0,0,48,6,0,0
283,怀预许字第201944号,2019年10月14日,鸿景城东苑,怀集县鑫源矿业有限公司,怀集县怀城镇龙湾圩背,第2幢11层/44套,5049.86,0,0,0,44,0,0,0
284,怀预许字第201943号,2019年10月11日,幸福上品居,怀集县幸福房产有限公司,怀集县怀城镇毓凤路幸福上品居,J1栋  11层/45套,4234.63,0,0,0.82,44,0,0,1
285,怀预许字第201942号,2019年9月20日,方圆・怀集滨江一号10栋,怀集县雍桦园房地产发展有限公司,怀集县幸福片区（旦家坪）c-14-1/2地块,10栋/32层/126套,15033.96,0,0,0,126,0,0,0
286,怀预许字第201941号,2019年9月20日,方圆・怀集滨江一号9栋,怀集县雍桦园房地产发展有限公司,怀集县幸福片区（旦家坪）c-14-1/2地块,9栋/32层/128套,15226.51,0,0,0,128,0,0,0
287,怀预许字第201940号,2019年9月23日,时代国际新城三期8座,怀集县时代房地产投资开发有限公司,怀集县怀城镇三江南路8号时代国际新城三期8座,三期8座、2层/11套,0,895.32,0,82.48,0,9,0,2
288,怀预许字第201939号,2019年9月23日,时代国际新城三期7座,怀集县时代房地产投资开发有限公司,怀集县怀城镇三江南路8号时代国际新城三期7座,三期7座、2层/9套,0,890.13,0,0,0,9,0,0
289,怀预许字第201938号,2019年9月23日,时代国际新城三期10座,怀集县时代房地产投资开发有限公司,怀集县怀城镇三江南路8号时代国际新城三期10座,三期10座、2层/27套,0,2764.88,0,4.59,0,26,0,1
290,怀预许字第201935号,2019年9月24日,世纪明珠3栋,怀集县德奥置业有限公司,怀集县怀城镇龙湾世纪明珠,3栋、32层/240套,27992.48,0,0,0,240,0,0,0
291,怀预许字第201934号,2019年9月20日,“腾业悦珑郡花园”第1幢、第2幢、第3幢,广东腾业实业发展集团有限公司,怀集县怀城镇站前大道,第1幢,6539.52,1081.43,0,0,48,18,0,0
292,怀预许字第201933号,2019年9月4日,幸福商贸城,怀集县富方圆房地产开发有限公司,怀集县大岗圩镇,B1、B2两幢16层、B3幢5层/113套,9979.69,4240.96,0,69.25,84,28,0,1
293,怀预许字第201932号,2019年9月4日,紫龙帝景7#楼,怀集县华威房地产发展有限公司,怀集县怀城镇龙湾村（旧纸厂）,紫龙帝景7#楼 18层/72套,7671.16,0,0,0,72,0,0,0
294,怀预许字第201931号,2019年9月4日,紫龙帝景6#楼,怀集县华威房地产发展有限公司,怀集县怀城镇龙湾村（旧纸厂）,紫龙帝景6#楼  18层/144套,15832.26,0,0,0,144,0,0,0
295,怀预许字第201930号,2019年8月12日,鸿景城东苑,怀集县鑫源矿业有限公司,怀集县怀城镇龙湾圩背,4A幢25层/99套,10942.15,0,0,0,99,0,0,0
296,怀预许字第201929号,2019年8月12日,鸿景城（西区）,怀集合力实业发展有限公司,怀集县怀城镇南巴,第3C幢2层/29套,0,1917.61,0,0,0,29,0,0
297,怀预许字第201928号,2019年8月7日,7#楼,怀集县基盛房地产开发有限公司,怀集县怀城镇幸福大道星龙花园,7#楼   29层/228套,28321.12,0,0,0,228,0,0,0
298,怀预许字第201927号,2019年8月2日,恒福新里程88座,怀集恒福华怡实业发展有限公司,怀集县怀城镇三江北路1号恒福新里程88座,88座3层/21套,0,2689.87,0,0,0,21,0,0
299,怀预许字第201926号,2019年8月2日,清华园5-7号住宅、1-2号商业楼,广东鸿一房地产开发有限公司,怀集县怀城镇莲花庄清华园,清华园5-7号住宅29层、1-2号商业楼2层/369套,37025.91,6203.04,0,0,334,35,0,0
300,怀预许字第201925号,2019年7月26日,方凯天悦城10栋,怀集县方凯房地产有限公司,怀集县怀城镇站前大道K-10地块,10栋,14365.71,0,0,0,124,0,0,0
301,怀预许字第201924号,2019年7月26日,方凯天悦城8栋,怀集县方凯房地产有限公司,怀集县怀城镇站前大道K-10地块,8栋,14315.18,0,0,0,124,0,0,0
302,怀预许字第201923号,2019年6月28日,时代国际新城四期2幢,怀集县时代房地产投资开发有限公司,怀集县怀城镇怀高片区沙口垌时代国际新城四期2幢,2幢,0,414.87,0,0,0,7,0,0
303,怀预许字第201922号,2019年6月28日,时代国际新城四期1幢,怀集县时代房地产投资开发有限公司,怀集县怀城镇怀高片区沙口垌时代国际新城四期1幢,1幢、28层/238套,23670.36,921.13,0,98.27,216,17,0,5
304,怀预许字第201921号,2019年6月5日,清华园,广东鸿一房地产开发有限公司,怀集县怀城镇莲花庄清华园,2幢29层,37124.18,0,0,0,335,0,0,0
305,怀预许字第201920号,2019年5月26日,鸿景城（西区）,怀集合力实业发展有限公司,怀集县怀城镇南巴,第6幢A29层/B2层/141套,12365.64,1943.55,0,0,112,29,0,0
306,怀预许字第201919号,2019年5月16日,幸福上品居,怀集县幸福房产有限公司,怀集县怀城镇毓凤路幸福上品居,"K1栋 23层
K2栋 23层/180套",18586.23,0,0,0,180,0,0,0
307,怀预许字第201918号,2019年4月29日,恒福新里程高层13座,怀集恒福华怡实业发展有限公司,怀集县怀城镇三江北路1号恒福新里程高层13座,13座33层/134套,14045.17,420.02,0,0,128,6,0,0
308,怀预许字第201917号,2019年4月29日,怀集恒福新里程10座,怀集恒福华怡实业发展有限公司,怀集县怀城镇三江北路1号恒福新里程高层10座,10栋,15461.44,0,0,0,128,0,0,0
309,怀预许字第201916号,2019年4月29日,怀集恒福新里程9座,怀集恒福华怡实业发展有限公司,怀集县怀城镇三江北路1号恒福新里程高层9座,9栋,15459.85,0,0,0,128,0,0,0
310,怀预许字第201915号,2019年4月29日,怀集恒福新里程6座,怀集恒福华怡实业发展有限公司,怀集县怀城镇三江北路1号恒福新里程高层6座,6栋,14880.69,0,0,0,96,0,0,0
311,怀预许字第201914号,2019年4月24日,方凯天悦城6栋,怀集县方凯房地产有限公司,怀集县怀城镇站前大道K-10地块,6栋,14316.42,0,0,0,124,0,0,0
312,怀预许字第201913号,2019年4月24日,鸿景城・东苑,怀集县鑫源矿业有限公司,怀集县怀城镇龙湾圩镇,第1幢11层/44套,5049.86,0,0,0,44,0,0,0
313,怀预许字第201912号,2019年4月12日,山水云天.畔山公馆8幢,怀集县金菱商贸有限公司,怀集县怀城镇站前路侧(金佳花园后背),"8幢,31层/119套",16311.35,0,0,22.56,117,0,0,2
314,怀预许字第201911号,2019年4月3日,B13幢,怀集县悦德实业发展有限公司,怀集县怀城镇育秀,B13幢 32/124套,14452.51,0,0,0,124,0,0,0
315,怀预许字第201910号,2019年4月3日,B12幢,怀集县悦德实业发展有限公司,怀集县怀城镇育秀,B12幢 32层/124套,14476.69,0,0,0,124,0,0,0
316,怀预许字第201909号,2019年3月14日,海逸国际广场A幢,怀集燕岩旅游发展有限公司,怀集县城解放南路,海逸国际广场A幢  13层/217套,0,11439.74,0,0,0,217,0,0
317,怀预许字第201908号,2019年3月6日,鸿景城东苑,怀集县鑫源矿业有限公司,怀集县怀城镇龙湾圩背,第3幢11层/44套,5049.86,0,0,0,44,0,0,0
318,怀预许字第201907号,2019年2月25日,海逸国际广场B幢,怀集燕岩旅游发展有限公司,怀集县城解放南路,海逸国际广场B幢  13层/178套,0,9075.88,0,47.72,0,177,0,1
319,怀预许字第201906号,2019年2月1日,山水云天.畔山公馆7幢,怀集县金菱商贸有限公司,怀集县怀城镇站前路侧(金佳花园后背),"7幢,31/122套",13902.6,0,0,21.36,120,0,0,2
320,怀预许字第201905号,2019年5月16日,云锦新��,怀集县时代房地产投资开发有限公司,怀集县怀城镇解放南路43号,1栋/133套,6580.31,0,0,401.27,128,0,0,5
321,怀预许字第201904号,2019年1月9日,怀集恒福新里程高层11.12座,怀集恒福华怡实业发展有限公司,怀集县怀城镇三江北路1号恒福新里程高层11座12座,11栋,28085.88,1049.52,0,0,256,15,0,0
322,怀预许字第201903号,2019年1月9日,怀集恒福新里程8座,怀集恒福华怡实业发展有限公司,怀集县怀城镇三江北路1号恒福新里程高层8座,8栋,15538.78,0,0,0,128,0,0,0
323,怀预许字第201902号,2019年1月9日,怀集恒福新里程7座,怀集恒福华怡实业发展有限公司,怀集县怀城镇三江北路1号恒福新里程高层7座,7栋,15539.4,0,0,0,128,0,0,0
324,怀预许字第201901号,2019年1月18日,方圆・怀集滨江一号5栋,怀集县雍桦园房地产发展有限公司,怀集县幸福片区（旦家坪）C-14-1/2地块,32层/125套,15242.82,0,0,0,125,0,0,0
325,怀预许字第2019005号,2019年1月19日,鸿景城（西区）,怀集合力实业发展有限公司,怀集县怀城镇南巴,第3A幢29层/112套,12388.88,0,0,0,112,0,0,0
326,怀预许字第201862号,2018年12月27日,锦秀华庭,怀集茂锦房地产开发有限公司,怀集县怀城镇解放北路登云亭,锦秀华庭  18层/130套,12253.92,2851.98,0,36.12,118,11,0,1
327,怀预许字第201860号,2018年12月14日,方圆・怀集滨江一号4栋,怀集县雍桦园房地产发展有限公司,怀集县幸福片区（旦家坪）C-14-1/2地块,32层/126套,15045.21,0,0,0,126,0,0,0
328,怀预许字第201859号,2018年12月14日,方圆・怀集滨江一号3栋,怀集县雍桦园房地产发展有限公司,怀集县幸福片区（旦家坪）C-14-1/2地块,32层/126套,15045.21,0,0,0,126,0,0,0
329,怀预许字第201858号,2018年12月14日,碧桂园・玖珑湾一标段D区十四号楼,怀集鸿灏投资有限公司,怀集县怀城镇沿江北路碧桂园・玖珑湾芷兰湾30、31座,碧桂园・玖珑湾一标段十四号楼        33层（有地下室）/274套,29875.8,1159.33,0,0,256,18,0,0
330,怀预许字第201856号,2018年11月23日,9#楼,怀集县基盛房地产开发有限公司,怀集县怀城镇幸福大道星龙花园,9#楼   29层/218套,25421.48,930.86,0,0,212,6,0,0
331,怀预许字第201855号,2018年11月23日,世纪明珠2栋,怀集县德奥置业有限公司,怀集县怀城镇龙湾世纪明珠,2栋、17层/139套,12701.44,810.52,0,0,128,11,0,0
332,怀预许字第201854号,2018年11月23日,世纪明珠1栋,怀集县德奥置业有限公司,怀集县怀城镇龙湾世纪明珠,1栋、17层/217套,18935.36,1983.52,0,0,192,25,0,0
333,怀预许字第201853号,2018年12月9日,清华名都,肇庆市大田房地产开发有限公司,怀集县怀城镇怀高村委会怀高洞路段,清华名都1幢,33846.94,1996.81,0,0,306,40,0,0
334,怀预许字第201852号,2018年11月19日,B10幢,怀集县悦德实业发展有限公司,怀集县怀城镇育秀,B10幢 31层/120套,13977.6,0,0,0,120,0,0,0
335,怀预许字第201851号,2018年10月31日,御江景苑,怀集美钧房地产开发有限公司,怀集县怀城镇怀高糯田��,1#楼25层/152套,19150.82,610.3,0,0,142,10,0,0
336,怀预许字第201850号,2018年10月19日,鸿景城（西区）,怀集合力实业发展有限公司,怀集县怀城镇南巴,第7幢A/B29层/245套,25158.8,686.29,0,0,228,17,0,0
337,怀预许字第201849号,2018年10月19日,鸿景城（西区）,怀集合力实业发展有限公司,怀集县怀城镇南巴,第3B幢29层/114套,12716.55,0,0,0,114,0,0,0
338,怀预许字第201848号,2018年10月13日,山水云天.畔山公馆6幢,怀集县金菱商贸有限公司,怀集县怀城镇站前路侧(金佳花园后背),6幢、30层/119套,13194.42,0,0,34.92,116,0,0,3
339,怀预许字第201847号,2018年10月13日,山水云天.畔山公馆5幢,怀集县金菱商贸有限公司,怀集县怀城镇站前路侧(金佳花园后背),5幢、30层/116套,12477.54,0,0,0,116,0,0,0
340,怀预许字第201846号,2018年10月13日,山水云天.畔山公馆4幢,怀集县金菱商贸有限公司,怀集县怀城镇站前路侧(金佳花园后背),4幢、30层/117套,12009.19,0,0,93.86,116,0,0,1
341,怀预许字第201845号,2018年10月13日,山水云天.畔山公馆3幢,怀集县金菱商贸有限公司,怀集县怀城镇站前路侧(金佳花园后背),3幢、30层/117套,11783.57,0,0,109.06,116,0,0,1
342,怀预许字第201844号,2018年10月15日,世纪绿洲花园8栋,怀集县世纪投资有限公司,怀集县怀城镇幸福南路上登鸭,8栋、30层/232套,26265.88,0,0,0,232,0,0,0
343,怀预许字第2018063号,2018年12月29日,时代国际新城三期（4座、5座、6座）,怀集县时代房地产投资开发有限公司,怀集县怀城镇三江南路8号恒福时代城三期,"三期4座、31层
三期5座、31层
三期6座、17层/266套",30424.26,1525.54,0,251.61,228,35,0,3
344,怀预许字第2018061号,2018年12月29日,怀集县怀城镇马岭头丽景花园A、B、C幢,怀集县天宇房地产开发有限公司,怀集县怀城镇马岭头,A幢、B幢、C幢/17层/221套,19876.5,1280.96,0,0,210,11,0,0
345,怀预许字第2018057号,2018年11月7日,锦江新城1＃商住楼,怀集县中科天伦实业有限公司,怀集县怀城镇怀高锦江新城,01-03、05-07/6套,0,1649.8,0,0,0,6,0,0
346,德预许字第2019011,2019年10月17日,中恒・龙湖春天1#楼、3#楼,德庆县中恒房地产开发有限公司,德庆县德城街道文兰北路,预售1#楼1-9层住宅,9859.7,2133.09,0,0,84,37,0,0
347,德预许字第2019010,2019年9月30日,德庆碧桂园城市之光花园一期1号楼,德庆碧桂园房地产开发有限公司,德庆县孔子中学北面,预售全栋1-2层商铺、住宅/9套,470.63,1224.83,0,0,4,5,0,0
348,德预许字第2019009,2019年9月30日,中恒・龙湖春天2#楼,德庆县中恒房地产开发有限公司,德庆县德城街道文兰北路,预售2#楼1-10层住宅/36套,5044.92,0,0,0,36,0,0,0
349,德预许字第2019008,2019年8月16日,鸿景城.花园15#楼A/B栋,德庆县中亿房地产开发有限公司,德庆县新圩镇府对面鸿景城・花园15#楼A/B栋,"15#楼A/B栋
  25层/228套",23309.14,1306.08,0,0,196,32,0,0
350,德预许字第2019007,2019年8月16日,锦龙凤凰城花园第6座,德庆县天建房地产开发有限公司,德庆县城西区香山变电站北侧,第6座地上26层地下2层/138套,0,0,0,15690.13,0,0,0,138
351,德预许字第2019006,2019年7月26日,兴雅轩,德庆中宏房地产开发有限公司 ,德庆县德城镇仁寿南路,预售全栋1-7层/27套,0,0,0,2688.12,0,0,0,27
352,德预许字第2019005,2019年6月26日,香山丽榭花园1.2.3幢,德庆县筠城实业投资有限公司,广东省德庆县德城街道城东居委会香山大道东16号香山丽榭花园,预售2.3幢第2-25层住宅；1幢第1-2层/158套,19018,1066.34,0,0,144,14,0,0
353,德预许字第2019004号,2019年5月29日,锦绣雅居一期,德庆县轩宇房地产有限公司,德庆县德城镇书院里,1栋8层/200套,7787.5,0,0,2189.24,77,0,0,123
354,德预许字第2019003,2019年5月15日,锦龙凤凰城花园第9座,德庆县天建房地产开发有限公司,德庆县城西区香山变电站北侧,第9座地下2层地上27层/161套,16462.59,1085.52,0,0,152,9,0,0
355,德预许字第2019002,2019年4月19日,香山丽榭花园5幢,德庆县筠城实业投资有限公司,广东省德庆县德城街道城东居委会香山大道东16号香山丽榭花园,预售全幢第2-25层住宅/72套,9969.6,0,0,0,72,0,0,0
356,德预许字第2019001,2019年4月4日,香山丽榭花园4幢,德庆县筠城实业投资有限公司,广东省德庆县德城街道城东居委会香山大道东16号香山丽榭花园,预售全幢第2-25层住宅/70套,8737.83,0,0,0,70,0,0,0
357,德预许字第2018016,2018年11月28日,香山丽榭花园10、11幢,德庆县筠城实业投资有限公司,广东省德庆县德城街道城东居委会香山大道东16号香山丽榭花园,10、11幢共27层（地上26层、地下1层）/205套,25738.03,0,0,0,205,0,0,0
358,德预许字第2018015,2018年11月2日,德庆浩翔御景阳光（F幢、G幢）,肇庆浩翔房地产有限公司,德庆县香山大道东路（县消防大队东侧）,F幢27层（地上25层、地下2层）            G幢27层（地上25层、地下2层）/188套,22238.37,0,0,0,188,0,0,0
359,德预许字第2018014,2018年10月24日,鸿景城・花园13#楼A/B座,德庆县中亿房地产开发有限公司,德庆县新圩镇政府南侧鸿景城・花园13#楼A/B座,"13栋A/B座
    30层/255套",25315.37,719,0,0,237,18,0,0
360,德预许字第2018013,2018年10月19日,德庆浩翔御景阳光H幢,肇庆浩翔房地产有限公司,德庆县香山大道东路（县消防大队东侧）,H幢 25层（地上23层、地下2层）/92套,10126.56,397.64,0,0,86,6,0,0
361,德预许字第2018012,2018年10月12日,德庆浩翔御景阳光E幢,肇庆浩翔房地产有限公司,德庆县香山大道东路（县消防大队东侧）,预售全栋第1至23层 商铺、住宅/101套,10123.94,697.31,0,0,86,15,0,0
362,封预售2019018号,2019年10月15日,广信华府商住小区二期,封开县盛泰房地产开发有限公司,江口镇封州一路20号之1广信华府13栋,13号楼11层/40套,4671.69,0,0,0,40,0,0,0
363,封预售2019017号,2019年9月29日,广信华府商住小区二期,封开县盛泰房地产开发有限公司,江口镇封州一路20号之1广信华府20栋,20号楼14层/52套,7260.5,0,0,0,52,0,0,0
364,封预售2019016号,2019年9月19日,碧桂园豪园四期,封开县嘉宜房地产开发有限公司,封开县江口镇府前东路1号（十八号楼）,36#、18层/72套,10112.52,0,0,0,72,0,0,0
365,封预售2019015号,2019年9月12日,绿景豪庭1栋,封开县绿景房地产开发有限公司,江口镇封州三路3号,1#楼,4849.48,677.84,0,0,36,12,0,0
366,封预售2019014号,2019年9月4日,东丽新城二期7座,封开县东升房地产开发有限公司,江口镇封州一路398号东丽新城二期,7座17层/73套,8350.59,378.7,0,0,67,6,0,0
367,封预售2019013号,2019年7月31日,御景华府,封开县开明投资有限公司,江口镇封州三路1号御景华府,3栋1-26层,23130.5,974.96,0,0,200,13,0,0
368,封预售2019012号,2019年7月10日,粤江花园,封开县枫华粤江房地产有限公司,封开县江口镇江滨中路6号7栋,7栋/9层/123套,14042.94,1139.6,0,0,112,11,0,0
369,封预售2019011号,2019年6月24日,时代豪庭商住楼,封开县丰昌房地产开发有限公司,封开县江口镇封州二路105号之2,1栋  11层/55套,6041.58,283.19,0,0,47,8,0,0
370,封预售2019010号,2019年6月20日,碧桂园豪园四期,封开县嘉宜房地产开发有限公司,封开县江口镇府前东路1号（十九号楼）,37#、17层/138套,14959.8,1016.03,0,0,128,10,0,0
371,封预售2019009号,2019年6月5日,盛世莲花商住小区二期（9#楼）,肇庆市龙昌水泥制造集团有限公司,封开县江口镇三元一路35号,9幢11层/90套,10410.63,561.34,0,0,86,4,0,0
372,封预售2019008号,2019年4月26日,佰隆山河13幢,封开县晨辉隆房地产开发有限公司,封开县江口镇滨江路3号,"3,18/204套",28230.56,0,0,0,204,0,0,0
373,封预售2019007号,2019年3月26日,盛世莲花商住小区二期（8#楼）,肇庆市龙昌水泥制造集团有限公司,封开县江口镇三元一路35号,8幢11层/91套,10408.74,554,0,0,86,5,0,0
374,封预售2019006号,2019年3月6日,聚龙商住苑⑴～⒆号楼,封开县永成和房地产有限公司,封开县南丰镇人民路城肚41号,1-29座,0,0,0,5644.33,0,0,0,26
375,封预售2019005号,2019年2月13日,东丽新城二期6座,封开县东升房地产开发有限公司,江口镇封州一路398号东丽新城二期,6座17层/136套,15941.24,0,0,0,136,0,0,0
376,封预售2019004号,2019年1月29日,星河国际6栋,封开县方信房地产开发有限公司,封开县江口镇封州一路422号星河国际6栋,6栋；29层/127套,13008.14,1129.15,0,0,112,15,0,0
377,封预售2019003号,2019年1月28日,粤江花园,封开县枫华粤江房地产有限公司,封开县江口镇江滨中路6号8栋,8栋/11层/20套,2946.3,0,0,0,20,0,0,0
378,封预售2019002号,2019年1月17日,江南城11幢商铺、15幢商铺,广东兴丰源房地产开发有限公司,江口镇江滨中路8号,11幢2层,0,4410.04,0,0,0,31,0,0
379,封预售2019001号,2019年1月2日,江南城,广东兴丰源房地产开发有限公司,江口镇江滨中路8号,15幢16层/163套,22030.24,0,0,0,163,0,0,0
380,封预售2018019号,2018年12月21日,雅怡小筑,封开县理恒房地产开发有限公司,江口镇龙山路225号,1栋7层/21套,2315.58,0,0,0,21,0,0,0
381,封预售2018018号,2018年12月20日,碧桂园豪园二期二,封开县嘉宜房地产开发有限公司,江口镇府前东路1号（十四号楼）,33#、18层/72套,10112.44,0,0,0,72,0,0,0
382,封预售2018017号,2018年11月30日,广信华府商住小区一期,封开县盛泰房地产开发有限公司,江口镇封州一路20号之1,16号楼15层/112套,12789.52,0,0,0,112,0,0,0
